customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7854-EKTJL,Female,0,No,Yes,2.448009389160672,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.41314279072865,35.85,Yes
0516-VRYBW,Female,0,No,Yes,17.593244469868708,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.2860337232615,390.85,Yes
2371-JQHZZ,Male,0,Yes,No,25.075170244891602,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.06427966577655,2248.05,No
3372-KWFBM,Male,1,No,No,16.988654164429576,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.37973132007126,1281,Yes
6497-TILVL,Female,0,Yes,Yes,6.6816859930764805,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.54312580636506,350.35,No
5533-NHFRF,Male,1,No,No,5.889392588154422,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.73071477304191,265.8,No
3733-ZEECP,Male,0,Yes,Yes,22.013550182043915,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.30323839095826,1232.9,No
2314-TNDJQ,Female,0,Yes,Yes,72.72448369609874,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),55.34151840336632,3880.05,No
1333-PBMXB,Female,0,Yes,Yes,53.77336755369059,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.2086443023519,1342.15,No
2115-BFTIW,Male,0,No,No,26.045690963107326,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.59913725192936,1767.35,Yes
5448-VWNAM,Female,0,No,Yes,16.476026055537467,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.12843449737545,1375.6,No
